American Biotech Labs,554e7e9189e04bb925684d404f8d0039,2009,$6 million
American Biotech Labs,554e7e9189e04bb925684d404f8d0039,2009,$6 million
American Correctional Solutions,554e7e9189e04bb925684d404f8d0039,2009,$15.6 million
American Energy Enterprises,554e7e9189e04bb925684d404f8d0039,2009,$25 million
American Laser Centers,554e7e9189e04bb925684d404f8d0039,2009,$141.9 million
American Metal Technologies,554e7e9189e04bb925684d404f8d0039,2009,$43 million
American Quality Foods,554e7e9189e04bb925684d404f8d0039,2009,$4.3 million
American Security Programs,554e7e9189e04bb925684d404f8d0039,2009,$47.6 million
American Solar Electric,554e7e9189e04bb925684d404f8d0039,2009,$15.2 million
American Unit,554e7e9189e04bb925684d404f8d0039,2009,$32.8 million
Americare Home Therapy,554e7e9189e04bb925684d404f8d0039,2009,$6.4 million
Americollect,554e7e9189e04bb925684d404f8d0039,2009,$4.4 million
AmeriQuest Transportation Services,554e7e9189e04bb925684d404f8d0039,2009,$524 million
Amigo Mobility International,554e7e9189e04bb925684d404f8d0039,2009,$13.4 million
Amity Technology,554e7e9189e04bb925684d404f8d0039,2009,$49 million
Amnet Technology Solutions,554e7e9189e04bb925684d404f8d0039,2009,$3.6 million
Anadarko Industries,554e7e9189e04bb925684d404f8d0039,2009,$32.3 million
Analytic Focus,554e7e9189e04bb925684d404f8d0039,2009,$2.1 million
Anatomy Supply Partners,554e7e9189e04bb925684d404f8d0039,2009,$6.3 million
Anchor Innovation,554e7e9189e04bb925684d404f8d0039,2009,$3.4 million
Andera,554e7e9189e04bb925684d404f8d0039,2009,$4.1 million
Anexinet Technology,554e7e9189e04bb925684d404f8d0039,2009,$47.8 million
Angarai International,554e7e9189e04bb925684d404f8d0039,2009,$2.9 million
Angel Staffing,554e7e9189e04bb925684d404f8d0039,2009,$23 million
'Angie''s List',554e7e9189e04bb925684d404f8d0039,2009,$34.2 million
Animax Entertainment,554e7e9189e04bb925684d404f8d0039,2009,$5.7 million
Annapolis Micro Systems,554e7e9189e04bb925684d404f8d0039,2009,$21.8 million
Anodyne Health,554e7e9189e04bb925684d404f8d0039,2009,$10.1 million
Answer Center America,554e7e9189e04bb925684d404f8d0039,2009,$3.8 million
AnswerLab,554e7e9189e04bb925684d404f8d0039,2009,$2.5 million
Anteo Group,554e7e9189e04bb925684d404f8d0039,2009,$22.6 million
Anthem Media Group,554e7e9189e04bb925684d404f8d0039,2009,$9.6 million
Anytime Fitness,554e7e9189e04bb925684d404f8d0039,2009,$26.7 million
AOC Solutions,554e7e9189e04bb925684d404f8d0039,2009,$23.4 million
AOS,554e7e9189e04bb925684d404f8d0039,2009,$128.8 million
APC Postal Logistics,554e7e9189e04bb925684d404f8d0039,2009,$27.2 million
Apex Analytix,554e7e9189e04bb925684d404f8d0039,2009,$37.2 million
Apex Instruments,554e7e9189e04bb925684d404f8d0039,2009,$8.1 million
Apex Print Technologies,554e7e9189e04bb925684d404f8d0039,2009,$20.6 million
Apex Technology Group,554e7e9189e04bb925684d404f8d0039,2009,$14.6 million
APG,554e7e9189e04bb925684d404f8d0039,2009,$34.9 million
APG Security,554e7e9189e04bb925684d404f8d0039,2009,$17.6 million
APN Consulting,554e7e9189e04bb925684d404f8d0039,2009,$8.3 million
Apogee Search,554e7e9189e04bb925684d404f8d0039,2009,$5.2 million
Apparatus,554e7e9189e04bb925684d404f8d0039,2009,$6.7 million
Appia Communications,554e7e9189e04bb925684d404f8d0039,2009,$7.6 million
Appletree Answering Service,554e7e9189e04bb925684d404f8d0039,2009,$15.1 million
Application Development Resources,554e7e9189e04bb925684d404f8d0039,2009,$12.3 million
Applied Control Engineering,554e7e9189e04bb925684d404f8d0039,2009,$15.6 million
AppRiver,554e7e9189e04bb925684d404f8d0039,2009,$18.7 million
Apps Associates,554e7e9189e04bb925684d404f8d0039,2009,$8.7 million
APT Research,554e7e9189e04bb925684d404f8d0039,2009,$12.6 million
Aptela,554e7e9189e04bb925684d404f8d0039,2009,$8.2 million
AQIWO,554e7e9189e04bb925684d404f8d0039,2009,$4 million
Aqua Superstore,554e7e9189e04bb925684d404f8d0039,2009,$7.5 million
Arc Aspicio,554e7e9189e04bb925684d404f8d0039,2009,$1.8 million
ArcaTech Systems,554e7e9189e04bb925684d404f8d0039,2009,$24.2 million
Archer Technologies,554e7e9189e04bb925684d404f8d0039,2009,$32.3 million
Archway,554e7e9189e04bb925684d404f8d0039,2009,$106.1 million
Arcus,554e7e9189e04bb925684d404f8d0039,2009,$22.1 million
ARGI Financial Group,554e7e9189e04bb925684d404f8d0039,2009,$3.3 million
Aribex,554e7e9189e04bb925684d404f8d0039,2009,$5.4 million
Aribex,554e7e9189e04bb925684d404f8d0039,2009,$5.4 million
Arizona Blinds,554e7e9189e04bb925684d404f8d0039,2009,$3 million
ARK Solutions,554e7e9189e04bb925684d404f8d0039,2009,$8.6 million
Arkel International,554e7e9189e04bb925684d404f8d0039,2009,$73.2 million
Arketi Group,554e7e9189e04bb925684d404f8d0039,2009,$2.4 million
Array Information Technology,554e7e9189e04bb925684d404f8d0039,2009,$19.4 million
Arrow Companies,554e7e9189e04bb925684d404f8d0039,2009,$5.4 million
Arrow Glass & Mirror,554e7e9189e04bb925684d404f8d0039,2009,$4.2 million
Arrow Strategies,554e7e9189e04bb925684d404f8d0039,2009,$14.6 million
Arrowhead Advertising,554e7e9189e04bb925684d404f8d0039,2009,$3.8 million
ArrowStream,554e7e9189e04bb925684d404f8d0039,2009,$85.2 million
Arsalon Technologies,554e7e9189e04bb925684d404f8d0039,2009,$4.1 million
Artech Information Systems,554e7e9189e04bb925684d404f8d0039,2009,$185.9 million
Artifex Technology Consulting,554e7e9189e04bb925684d404f8d0039,2009,$2.3 million
ASAP Automation,554e7e9189e04bb925684d404f8d0039,2009,$12.2 million
ASAP Industries,554e7e9189e04bb925684d404f8d0039,2009,$23.7 million
ASAP Printing,554e7e9189e04bb925684d404f8d0039,2009,$16.2 million
ASAP Printing,554e7e9189e04bb925684d404f8d0039,2009,$16.2 million
Ascendant Technology,554e7e9189e04bb925684d404f8d0039,2009,$11 million
Ascendant Technology,554e7e9189e04bb925684d404f8d0039,2009,$52.7 million
Ascentium,554e7e9189e04bb925684d404f8d0039,2009,$88.4 million
ASE Technology,554e7e9189e04bb925684d404f8d0039,2009,$3.4 million
Ashland Technologies,554e7e9189e04bb925684d404f8d0039,2009,$5.7 million
ASL Interpreter Referral Service,554e7e9189e04bb925684d404f8d0039,2009,$2 million
Aspen Exteriors,554e7e9189e04bb925684d404f8d0039,2009,$5.4 million
Aspen Transportation,554e7e9189e04bb925684d404f8d0039,2009,$10.8 million
AspireHR,554e7e9189e04bb925684d404f8d0039,2009,$15.7 million
Astir IT Solutions,554e7e9189e04bb925684d404f8d0039,2009,$9.4 million
Astyra,554e7e9189e04bb925684d404f8d0039,2009,$9.8 million
Atalasoft,554e7e9189e04bb925684d404f8d0039,2009,$3.4 million
Atlanta Pediatric Therapy,554e7e9189e04bb925684d404f8d0039,2009,$4 million
Atlantic BT,554e7e9189e04bb925684d404f8d0039,2009,$2.2 million
Atlantic Equipment Engineers,554e7e9189e04bb925684d404f8d0039,2009,$5.6 million
Atlantic Maintenance Services,554e7e9189e04bb925684d404f8d0039,2009,$2 million
Atlas Properties,554e7e9189e04bb925684d404f8d0039,2009,$5.8 million
Atlas Travel International,554e7e9189e04bb925684d404f8d0039,2009,$165 million
AtLast Fulfillment,554e7e9189e04bb925684d404f8d0039,2009,$24.1 million
Atrion,554e7e9189e04bb925684d404f8d0039,2009,$38.6 million
ATS Electric,554e7e9189e04bb925684d404f8d0039,2009,$16.5 million
AtTask,554e7e9189e04bb925684d404f8d0039,2009,$15.5 million
AtTask,554e7e9189e04bb925684d404f8d0039,2009,$15.5 million
Auction Systems Auctioneers & Appraisers,554e7e9189e04bb925684d404f8d0039,2009,$52.6 million
Audigy Group,554e7e9189e04bb925684d404f8d0039,2009,$6.1 million
August Enterprises,554e7e9189e04bb925684d404f8d0039,2009,$3 million
Aurora Contractors,554e7e9189e04bb925684d404f8d0039,2009,$182.1 million
Austin GeoModeling,554e7e9189e04bb925684d404f8d0039,2009,$4.2 million
Author Solutions,554e7e9189e04bb925684d404f8d0039,2009,$38.7 million
AutohausAZ.com,554e7e9189e04bb925684d404f8d0039,2009,$10.5 million
Autoline Industries,554e7e9189e04bb925684d404f8d0039,2009,$2.4 million
AutomatedQA,554e7e9189e04bb925684d404f8d0039,2009,$10.5 million
Automation Engineering,554e7e9189e04bb925684d404f8d0039,2009,$12 million
Avalex Technologies Corporation,554e7e9189e04bb925684d404f8d0039,2009,$12.7 million
Avalon Consulting,554e7e9189e04bb925684d404f8d0039,2009,$6.9 million
Avankia,554e7e9189e04bb925684d404f8d0039,2009,$1.9 million
Avella,554e7e9189e04bb925684d404f8d0039,2009,$83.2 million
Aviation Network Services,554e7e9189e04bb925684d404f8d0039,2009,$5.1 million
Avidian Technologies,554e7e9189e04bb925684d404f8d0039,2009,$3.4 million
Avisena,554e7e9189e04bb925684d404f8d0039,2009,$15.1 million
Avondale Partners,554e7e9189e04bb925684d404f8d0039,2009,$22.3 million
AVT Simulation,554e7e9189e04bb925684d404f8d0039,2009,$12.4 million
Axiom,554e7e9189e04bb925684d404f8d0039,2009,$55.6 million
Axiom Requisition Copy Service,554e7e9189e04bb925684d404f8d0039,2009,$2.5 million
Axispoint,554e7e9189e04bb925684d404f8d0039,2009,$38.7 million
AXYS Industrial Solutions,554e7e9189e04bb925684d404f8d0039,2009,$3.5 million
Azavea,554e7e9189e04bb925684d404f8d0039,2009,$2 million
Aztalan Engineering,554e7e9189e04bb925684d404f8d0039,2009,$8.5 million
B & B Builders,554e7e9189e04bb925684d404f8d0039,2009,$7.7 million
B2B Computer Products,554e7e9189e04bb925684d404f8d0039,2009,$70 million
BabyEarth,554e7e9189e04bb925684d404f8d0039,2009,$5.7 million
BackOffice Associates,554e7e9189e04bb925684d404f8d0039,2009,$110.9 million
Baggo,554e7e9189e04bb925684d404f8d0039,2009,$4.3 million
Bamco,554e7e9189e04bb925684d404f8d0039,2009,$27.2 million
BANC3,554e7e9189e04bb925684d404f8d0039,2009,$4.8 million
BancVue,554e7e9189e04bb925684d404f8d0039,2009,$21.9 million
BandCon,554e7e9189e04bb925684d404f8d0039,2009,$20.4 million
Bandwidth.com,554e7e9189e04bb925684d404f8d0039,2009,$76.5 million
