draker-laboratories,c61e6a5dd61ef3ac28d02c864ea9b048	Draker 	drakerenergy	1999	5085000
duducars,4b9962595d7ff850d591b39c0029217e	Duducars	DuducarsCN	2011	0
duducars,c61e6a5dd61ef3ac28d02c864eb4d74f	Duducars	DuducarsCN	2011	0
dynamo-labs,4b9962595d7ff850d591b39c002eb005	Dynamo Labs	dynamolabs	2008	0
dynamo-labs,c61e6a5dd61ef3ac28d02c864eba2d1e	Dynamo Labs	dynamolabs	2008	0
e-tag,4b9962595d7ff850d591b39c0033d254	e-Tag	etag_ID	2008	0
eagle-genomics,4b9962595d7ff850d591b39c00354f46	Eagle Genomics	eaglegen	2008	0
earthsmart-networks,4b9962595d7ff850d591b39c0036f6b3	EarthSmart Networks	EarthSmartNet	2004	0
eco2market,4b9962595d7ff850d591b39c00428c90	eCO2market	eco2data	2009	0
ecoatm,4b9962595d7ff850d591b39c0042affd	ecoATM	ecoatm	2008	31400000
ecofactor,4b9962595d7ff850d591b39c00433853	EcoFactor	EcoFactorCo	2006	5900000
ecogii-energy-labs,4b9962595d7ff850d591b39c00435f9e	Ecogii Energy Labs	ecoplenty	2012	500000
ecologic-llc,4b9962595d7ff850d591b39c0043c280	EcoLogic LLC	eco_logic	2010	0
ecometrica,4b9962595d7ff850d591b39c00440f54	Ecometrica	_ecometrica	null	250000
ecovadis,4b9962595d7ff850d591b39c00462080	EcoVadis	pierrov	2007	1400000
ecovative-designs,4b9962595d7ff850d591b39c00462691	Ecovative Design	ecovative	2007	0
ecycler,4b9962595d7ff850d591b39c0046c8c1	ecycler	ecycler	2009	0
efficiency2-0,4b9962595d7ff850d591b39c004e8acd	Efficiency2.0	efficiency20	null	0
ehr-doctors,4b9962595d7ff850d591b39c00525908	EHR Doctors	ehrdoctors	null	0
emeter,4b9962595d7ff850d591b39c00649b42	eMeter	emeter	1999	68790000
energie-praemisse,4b9962595d7ff850d591b39c006dacea	Energie Praemisse	kWIQly	2008	0
energy-acuity,4b9962595d7ff850d591b39c006dde68	Energy Acuity	energyacuity	2007	0
energy-points,4b9962595d7ff850d591b39c006e4163	Energy Points	EnergyPoints	2011	3000000
energy-xtreme,4b9962595d7ff850d591b39c006e6ed3	Energy Xtreme	energyxtreme	null	0
enio,4b9962595d7ff850d591b39c00721cee	Enio	enio_uk	2010	0
